Goal,Target,Indicator,SeriesCode,Country,Time,Val,ValType,Age,Freq,Location,Nature,Scenario,Sex,Units
6,6.b,6.b.1,ER_H2O_PROCED,Eastern Europe,2017,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern Europe,2017,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Europe,2017,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Europe,2017,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Western Africa,2014,86.666667,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Western Africa,2014,86.666667,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Caribbean,2017,80,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Latin America and the Caribbean,2017,85.714286,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern Asia (excluding Japan),2014,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Small island developing States (SIDS),2014,60,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Landlocked developing countries (LLDCs),2014,80.769231,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Sub-Saharan Africa,2017,90,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Sub-Saharan Africa,2017,85,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern Africa,2017,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,South-eastern Asia,2014,87.5,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,South-eastern Asia,2014,87.5,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Western Asia,2014,85.714286,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Western Asia,2014,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern Africa and Western Asia,2014,90,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern Africa and Western Asia,2014,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Europe,2014,71.428571,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Europe,2014,71.428571,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern Europe,2014,33.333333,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern Europe,2014,33.333333,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Southern Asia,2017,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Southern Asia,2017,85.714286,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern Europe,2014,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern Europe,2014,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Southern Africa,2017,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Small island developing States (SIDS),2014,50,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Southern Africa,2017,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Micronesia,2017,0,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Landlocked developing countries (LLDCs),2014,96.153846,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Central America,2017,66.666667,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Central America,2017,66.666667,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Australia and New Zealand,2017,0,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Australia and New Zealand,2017,0,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Australia and New Zealand,2014,0,Float,All,A,Rural,E,P,Total,Percentage
